"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Konya","Karapınar",2,2,0,0,,
"Switzerland",,,2,2,0,0,,
"Türkiye","Osmaniye","Kadirli",2,2,0,0,,
"Netherlands","North Holland","Purmerend",2,2,0,0,,
"United Kingdom","England","Milton Keynes",2,2,0,0,,
"Germany","Lower Saxony","Braunschweig",1,2,0,0,,
"United Kingdom","England","Oxford",2,2,0,0,,
"Türkiye","Isparta","Isparta",2,2,0,0,,
"Germany","Hesse","Fulda",2,2,0,0,,
"Türkiye","Konya","Ilgın",2,2,0,0,,
"Belgium","Flanders","Turnhout",2,2,0,0,,
"Ukraine","Kyiv City","Kyiv",2,2,0,0,,
"Türkiye","Kayseri","Develi",2,2,0,0,,
"Japan","Tokyo","Tokyo",2,2,0,0,,
"Türkiye","Antalya","Kadirli",1,2,0,0,,
"Denmark","Central Jutland","Aarhus",2,2,0,0,,
"Germany","City state Bremen","Bremen",2,2,0,0,,
"France","Rhône-Alpes",,2,2,0,0,,
"Germany","Bavaria","Landshut",2,2,0,0,,
"Germany","North Rhine-Westphalia","Gelsenkirchen",2,2,0,0,,
"United States","Iowa",,2,2,0,0,,
"United Kingdom","England","Wednesbury",1,2,0,0,,
"United Kingdom","England","London",2,2,0,0,,
"Norway","Østfold","Fredrikstad",2,2,0,0,,
"Türkiye","Düzce","Cumayeri",2,2,0,0,,
"Netherlands","North Brabant","Breda",2,2,0,0,,
"Türkiye","Balıkesir",,2,2,0,0,,
"Türkiye","Bursa Province","Fethiye",2,2,0,0,,
"Germany","Baden-Wurttemberg","Karlsruhe",2,2,0,0,,
"Germany","North Rhine-Westphalia","Dortmund",2,2,0,0,,
"Türkiye","Burdur","İğdir",1,1,0,0,,
"Germany","North Rhine-Westphalia","Lünen",1,1,0,0,,
"Netherlands","Utrecht","Utrecht",1,1,0,0,,
"Netherlands","Overijssel","Zwolle",1,1,0,0,,
"United Kingdom","England","Leeds",1,1,0,0,,
"Türkiye","Giresun","Bulancak",1,1,0,0,,
"Sweden","Stockholm County","Sundbyberg",1,1,0,0,,
"Tanzania","Zanzibar Urban/West","Zanzibar",1,1,0,0,,
